name,id,external_id,attack_url,class,tactics,platforms,permissions,rule_id,rule_desc,rule_evidence,is_fallback
Remote Access Tools,attack-pattern--4061e78c-1284-44b4-9116-73e4ac3912f7,T1219,https://attack.mitre.org/techniques/T1219,VMR,command-and-control,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Domains,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,T1583.001,https://attack.mitre.org/techniques/T1583/001,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Archive via Library,attack-pattern--41868330-6ee2-4d0f-b743-9f2294c3c9b6,T1560.002,https://attack.mitre.org/techniques/T1560/002,VMR,collection,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Thread Execution Hijacking,attack-pattern--41d9846c-f6af-4302-a654-24bba2729bc6,T1055.003,https://attack.mitre.org/techniques/T1055/003,VMR,defense-evasion;privilege-escalation,Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Thread Execution Hijacking,False
Masquerading,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,T1036,https://attack.mitre.org/techniques/T1036,VMR,defense-evasion,Containers;ESXi;Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Application Shimming,attack-pattern--42fe883a-21ea-4cfb-b94a-78b6476dcc83,T1546.011,https://attack.mitre.org/techniques/T1546/011,VMR,persistence;privilege-escalation,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Port Monitors,attack-pattern--43881e51-ac74-445b-b4c6-f9f9e9bf23fe,T1547.010,https://attack.mitre.org/techniques/T1547/010,VMR,persistence;privilege-escalation,Windows,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Port Monitors,False
Clear Mailbox Data,attack-pattern--438c967d-3996-4870-bfc2-3954752a1927,T1070.008,https://attack.mitre.org/techniques/T1070/008,VMR,defense-evasion,Linux;macOS;Office Suite;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Login Hook,attack-pattern--43ba2b05-cf72-4b6c-8243-03a4aba41ee0,T1037.002,https://attack.mitre.org/techniques/T1037/002,VMR,persistence;privilege-escalation,macOS,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Login Hook,False
Content Injection,attack-pattern--43c9bc06-715b-42db-972f-52d25c09a20c,T1659,https://attack.mitre.org/techniques/T1659,VMR,command-and-control;initial-access,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
