campaign_name,campaign_id,technique_count,technique_ids,tactic_count,tactic_sequence,software_count,software_ids,cve_count,cve_ids,platform_signals,has_initial_access,has_exfiltration
C0017,campaign--ba6dfa37-f401-4140-88b0-8938f2895e61,29,T1001.003;T1003.002;T1005;T1016;T1027;T1027.002;T1033;T1036.004;T1036.005;T1041;T1048.003;T1053.005;T1059.003;T1059.007;T1071.001;T1074.001;T1090;T1102;T1102.001;T1105;T1134;T1140;T1190;T1505.003;T1560.003;T1567;T1574;T1588.002;T1680,11,resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;collection;command-and-control;exfiltration,6,S0002;S0097;S0105;S0154;S1051;S1052,0,,ESXi;Linux;Windows;macOS,True,True
C0018,campaign--519ee082-8ab6-439b-988f-a8a3f02c8d30,19,T1016;T1021.001;T1027.010;T1033;T1036;T1036.005;T1046;T1047;T1059.001;T1071.001;T1072;T1105;T1190;T1218.011;T1219.002;T1486;T1570;T1571;T1588.002,8,resource-development;initial-access;execution;defense-evasion;discovery;lateral-movement;command-and-control;impact,6,S0002;S0097;S0108;S0154;S0633;S1053,0,,ESXi;Linux;Windows;macOS,True,False
C0021,campaign--712e38c3-a656-426a-9b3b-a6bfb63294c6,15,T1027.009;T1027.010;T1059.001;T1071.001;T1095;T1105;T1140;T1204.001;T1218.011;T1566.002;T1573.002;T1583.001;T1584.001;T1588.002;T1608.001,5,resource-development;initial-access;execution;defense-evasion;command-and-control,1,S0154,0,,ESXi;Linux;Windows;macOS,True,False
C0026,campaign--c89fa3ff-4773-4daf-8aec-d8f43f10116e,6,T1005;T1030;T1105;T1560.001;T1568;T1583.001,4,resource-development;collection;command-and-control;exfiltration,6,S0039;S0099;S0104;S1074;S1075;S1076,0,,ESXi;Linux;Windows;macOS,False,True
C0027,campaign--df74f7ad-b10d-431c-9f1d-a2bc18dadefa,28,T1003.006;T1021.007;T1046;T1047;T1069.003;T1078.004;T1087.003;T1087.004;T1090;T1098.001;T1098.003;T1098.005;T1102;T1105;T1133;T1190;T1213.002;T1219.002;T1530;T1566.004;T1572;T1578.002;T1588.002;T1589.001;T1598.001;T1598.004;T1621;T1656,12,reconnaissance;resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;lateral-movement;collection;command-and-control,1,S0357,0,,ESXi;Linux;Windows;macOS,True,False
C0032,campaign--7ec2826c-0bf0-4b47-acae-fd683431a4ca,17,T1003.001;T1021.001;T1021.004;T1036.005;T1053.005;T1059.001;T1070.004;T1070.006;T1074.001;T1078;T1133;T1505.003;T1546.012;T1571;T1572;T1583.003;T1588.002,10,resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;lateral-movement;collection;command-and-control,1,S0002,0,,ESXi;Linux;Windows;macOS,True,False
C0033,campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,0,,0,,1,S0491,0,,Windows,False,False
CostaRicto,campaign--f9cc545e-b0ef-4b92-8884-a3a4427609f6,10,T1005;T1046;T1053.005;T1090.003;T1105;T1133;T1572;T1583.001;T1587.001;T1588.002,8,resource-development;initial-access;execution;persistence;privilege-escalation;discovery;collection;command-and-control,6,S0029;S0183;S0194;S0613;S0614;S0615,0,,ESXi;Linux;Windows;macOS,True,False
Cutting Edge,campaign--4fdd2487-26c1-494e-8702-ec5abe9aa1d9,31,T1003.001;T1003.003;T1005;T1021.001;T1021.002;T1021.004;T1027.013;T1055;T1056.001;T1056.003;T1059;T1059.006;T1070;T1070.004;T1070.006;T1071.004;T1078.002;T1082;T1095;T1105;T1190;T1205;T1505.003;T1554;T1560.001;T1562.001;T1572;T1584.008;T1588.002;T1594;T1595.002,12,reconnaissance;resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;lateral-movement;collection;command-and-control,11,S0357;S0488;S1114;S1115;S1116;S1117;S1118;S1119;S1120;S1121;S1123,0,,ESXi;Linux;Windows;macOS,True,False
FLORAHOX Activity,campaign--f494272a-c110-4574-be90-42c4957f7ae7,6,T1059;T1059.004;T1090.003;T1190;T1583.003;T1584.008,4,resource-development;initial-access;execution;command-and-control,1,S0183,0,,ESXi;Linux;Windows;macOS,True,False
