intrusion_set_id,feature_count,nearest_neighbor_id,nearest_distance,confused
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,12,intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,0.7143,False
intrusion-set--46599a4a-77ee-4697-9474-2683b6464859,52,intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,0.771,False
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,16,intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,0.6471,False
intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,30,intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,0.6078,False
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,28,intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,0.7,False
intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,2,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,0.6,False
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,19,intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,0.6389,False
intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,19,intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,0.6389,False
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,49,intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,0.675,False
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,57,intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,0.6267,False
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,15,intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,0.75,False
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,70,intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,0.7071,False
intrusion-set--b8137919-38cb-4db0-90f3-437be885faba,22,intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,0.7381,False
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,27,intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,0.8378,False
